IND,YEAR,EMP,WAGE,CAP,INDOUTPT,N,W,K,YS,REC,YEARM1,ID,NL1,NL2,WL1,KL1,KL2,YSL1,YSL2,YR1976,YR1977,YR1978,YR1979,YR1980,YR1981,YR1982,YR1983,YR1984 
7,1977,5.0409999,13.1515999,.5894000,95.7071991,1.6176045,2.5765433,-.5286502,4.5612936,1,1977,1, , , , , , , ,0,1,0,0,0,0,0,0,0 
7,1978,5.5999999,12.3017998,.6318000,97.3569031,1.7227666,2.5097456,-.4591824,4.5783834,2,1977,1,1.6176045, ,2.5765433,-.5286502, ,4.5612936, ,0,0,1,0,0,0,0,0,0 
7,1979,5.0149999,12.8395004,.6771000,99.6082993,1.6124334,2.5525265,-.3899363,4.6012454,3,1978,1,1.7227666,1.6176045,2.5097456,-.4591824,-.5286502,4.5783834,4.5612936,0,0,0,1,0,0,0,0,0 
7,1980,4.7150002,13.8038998,.6171000,100.5501022,1.5507489,2.6249511,-.4827242,4.6106563,4,1979,1,1.6124334,1.7227666,2.5525265,-.3899363,-.4591824,4.6012454,4.5783834,0,0,0,0,1,0,0,0,0 
7,1981,4.0929999,14.2896996,.5076000,99.5580978,1.4092782,2.6595390,-.6780615,4.6007414,5,1980,1,1.5507489,1.6124334,2.6249511,-.4827242,-.3899363,4.6106563,4.6012454,0,0,0,0,0,1,0,0,0 
7,1982,3.1659999,14.8681002,.4229000,98.6150970,1.1524689,2.6992180,-.8606195,4.5912242,6,1981,1,1.4092782,1.5507489,2.6595390,-.6780615,-.4827242,4.6007414,4.6106563,0,0,0,0,0,0,1,0,0 
7,1983,2.9360001,13.7784004,.3920000,100.0300980,1.0770482,2.6231022,-.9364935,4.6054711,7,1982,1,1.1524689,1.4092782,2.6992180,-.8606195,-.6780615,4.5912242,4.6007414,0,0,0,0,0,0,0,1,0 
7,1977,71.3190002,14.7909002,16.9363003,95.7071991,4.2671628,2.6940122,2.8294592,4.5612936,8,1983,2, , , , , , , ,0,1,0,0,0,0,0,0,0 
7,1978,70.6429977,14.1035995,17.2422009,97.3569031,4.2576389,2.6464300,2.8473599,4.5783834,9,1977,2,4.2671628, ,2.6940122,2.8294592, ,4.5612936, ,0,0,1,0,0,0,0,0,0 
7,1979,70.9179993,14.9533997,17.5412998,99.6082993,4.2615242,2.7049387,2.8645580,4.6012454,10,1978,2,4.2576389,4.2671628,2.6464300,2.8473599,2.8294592,4.5783834,4.5612936,0,0,0,1,0,0,0,0,0 
7,1980,72.0309982,15.4910002,17.6574001,100.5501022,4.2770967,2.7402592,2.8711550,4.6106563,11,1979,2,4.2615242,4.2576389,2.7049387,2.8645580,2.8473599,4.6012454,4.5783834,0,0,0,0,1,0,0,0,0 
7,1981,73.6890030,16.1968994,16.7133007,99.5580978,4.2998538,2.7848198,2.8162048,4.6007414,12,1980,2,4.2770967,4.2615242,2.7402592,2.8711550,2.8645580,4.6106563,4.6012454,0,0,0,0,0,1,0,0,0 
7,1982,72.4189987,16.1313992,16.2469006,98.6150970,4.2824688,2.7807677,2.7879021,4.5912242,13,1981,2,4.2998538,4.2770967,2.7848198,2.8162048,2.8711550,4.6007414,4.6106563,0,0,0,0,0,0,1,0,0 
7,1983,68.5179977,16.3050995,17.3696003,100.0300980,4.2270966,2.7914779,2.8547215,4.6054711,14,1982,2,4.2824688,4.2998538,2.7807677,2.7879021,2.8162048,4.5912242,4.6007414,0,0,0,0,0,0,0,1,0 
7,1977,19.1560001,22.6919994,7.0974998,95.7071991,2.9526160,3.1220124,1.9597425,4.5612936,15,1983,3, , , , , , , ,0,1,0,0,0,0,0,0,0 
7,1978,19.4400005,20.6938000,6.9468999,97.3569031,2.9673328,3.0298340,1.9382955,4.5783834,16,1977,3,2.9526160, ,3.1220124,1.9597425, ,4.5612936, ,0,0,1,0,0,0,0,0,0 
7,1979,19.8999996,21.2047997,6.8565001,99.6082993,2.9907198,3.0542276,1.9251971,4.6012454,17,1978,3,2.9673328,2.9526160,3.0298340,1.9382955,1.9597425,4.5783834,4.5612936,0,0,0,1,0,0,0,0,0 
7,1980,20.2399998,22.1970005,6.6546998,100.5501022,3.0076609,3.0999572,1.8953234,4.6106563,18,1979,3,2.9907198,2.9673328,3.0542276,1.9251971,1.9382955,4.6012454,4.5783834,0,0,0,0,1,0,0,0,0 
7,1981,19.5699997,24.8714008,6.2136002,99.5580978,2.9739978,3.2137187,1.8267405,4.6007414,19,1980,3,3.0076609,2.9907198,3.0999572,1.8953234,1.9251971,4.6106563,4.6012454,0,0,0,0,0,1,0,0,0 
7,1982,18.1250000,24.8446999,5.7146001,98.6150970,2.8972921,3.2126443,1.7430243,4.5912242,20,1981,3,2.9739978,3.0076609,3.2137187,1.8267405,1.8953234,4.6007414,4.6106563,0,0,0,0,0,0,1,0,0 
7,1983,16.8500004,28.9076996,7.3431001,100.0300980,2.8243506,3.3641081,1.9937611,4.6054711,21,1982,3,2.8972921,2.9739978,3.2126443,1.7430243,1.8267405,4.5912242,4.6007414,0,0,0,0,0,0,0,1,0 
8,1977,26.1599998,14.8283005,8.4902000,118.2222977,3.2642314,2.6965375,2.1389127,4.7725668,22,1983,4, , , , , , , ,0,1,0,0,0,0,0,0,0 
